sku,description,pkg,price,compareTo,section,page,medlineBrand,rawLine
"1005","Bath Safety Equipment Medline Rubber Bath Mat Durable, heavyweight natural rubber with slip-resistant suction cups. Machine washable. White. 13.4” x 29”.","1 Ct","$15.00","","Mobility","17","true","Bath Safety Equipment Medline Rubber Bath Mat Durable, heavyweight natural rubber with slip-resistant suction cups. Machine washable. White. 13.4” x 29”. 1 Ct 1005 $15.00"
"1012","Medline Cetirizine Allergy Relief Tablets 10 mg 24-hour relief. Compare to the active ingredient in Zyrtec.","90 Ct","$10.00","","Allergy & Sinus","11","true","Medline Cetirizine Allergy Relief Tablets 10 mg 24-hour relief. Compare to the active ingredient in Zyrtec. 90 Ct 1012 $10.00"
"1013","Loratadine 24-Hr Non-Drowsy Allergy Tablets 10 mg Helps relieve sneezing, itchy eyes. Compare to the active ingredient in Claritin.","30 Ct","$5.00","","Allergy & Sinus","12","false","Loratadine 24-Hr Non-Drowsy Allergy Tablets 10 mg Helps relieve sneezing, itchy eyes. Compare to the active ingredient in Claritin. 30 Ct 1013 $5.00"
"1015","Fexofenadine 24-Hour Allergy Relief Tablets 180 mg Non-drowsy. Compare to the active ingredient in Allegra Allergy.","30 Ct","$18.00","","Allergy & Sinus","11","false","Fexofenadine 24-Hour Allergy Relief Tablets 180 mg Non-drowsy. Compare to the active ingredient in Allegra Allergy. 30 Ct 1015 $18.00"
"1018","GoodSense Cold Max Day/Night Cold Relief Caplets Multi-symptom relief. 12 daytime caplets/8 nighttime caplets.","20 Ct","$10.00","","Allergy & Sinus","13","false","GoodSense Cold Max Day/Night Cold Relief Caplets Multi-symptom relief. 12 daytime caplets/8 nighttime caplets. 20 Ct 1018 $10.00"
"1020","GoodSense Cough Drops 5.8 mg menthol. Cherry flavor. Compare to the active ingredient in Halls.","30 Ct","$5.00","","Allergy & Sinus","13","false","GoodSense Cough Drops 5.8 mg menthol. Cherry flavor. Compare to the active ingredient in Halls. 30 Ct 1020 $5.00"
"1024","Fluticasone Propionate Nasal Spray 50 mcg Non-drowsy 24-hour relief. Compare to the active ngredient in Flonase. 120 metered doses. i","1 Ct","$20.00","","Allergy & Sinus","12","false","Fluticasone Propionate Nasal Spray 50 mcg Non-drowsy 24-hour relief. Compare to the active ngredient in Flonase. 120 metered doses. i 1 Ct 1024 $20.00"
"1026","Cough, Cold & Flu Medicated Chest Rub 3.53 oz. Compare to the active ingredients in Vicks VapoRub.","3.5 Oz","$5.00","","Allergy & Sinus","12","false","Cough, Cold & Flu Medicated Chest Rub 3.53 oz. Compare to the active ingredients in Vicks VapoRub. 3.5 Oz 1026 $5.00"
"1028","Guaifenesin Mucus Relief Tablets 400 mg Helps thin and loosen mucus and relieve chest congestion.","100 Ct","$9.00","","Allergy & Sinus","13","false","Guaifenesin Mucus Relief Tablets 400 mg Helps thin and loosen mucus and relieve chest congestion. 100 Ct 1028 $9.00"
"1030","Dr. Sheffield’s 12Hr Nasal Decongestant Spray 1oz. 0.05% oxymetazoline. Compare to the active ingredient in Afrin.","1 Ct","$5.00","","Allergy & Sinus","12","false","Dr. Sheffield’s 12Hr Nasal Decongestant Spray 1oz. 0.05% oxymetazoline. Compare to the active ingredient in Afrin. 1 Ct 1030 $5.00"
"1033","Reliable-1 Saline Nasal Spray 3 oz. Compare to the active ingredient in Ocean.","3 Oz","$5.00","","Allergy & Sinus","12","false","Reliable-1 Saline Nasal Spray 3 oz. Compare to the active ingredient in Ocean. 3 Oz 1033 $5.00"
"1034","GoodSense Sore Throat Lozenges Compare to the active ingredients in Cepacol. Cherry flavor.","18 Ct","$5.00","","Allergy & Sinus","13","false","GoodSense Sore Throat Lozenges Compare to the active ingredients in Cepacol. Cherry flavor. 18 Ct 1034 $5.00"
"1035","Ear Care Dr. Sheffield’s Ear Wax Removal Drops 15 mL 6.5% carbamide peroxide solution. Compare to the active ingredient in Debrox.","1 Ct","$5.00","","Personal Care","20","false","Ear Care Dr. Sheffield’s Ear Wax Removal Drops 15 mL 6.5% carbamide peroxide solution. Compare to the active ingredient in Debrox. 1 Ct 1035 $5.00"
"1041","Hot & Cold Therapies Medline Accu-Therm Reusable Hot/Cold Gel Pack Microwave for hot therapy, freeze for cold therapy. Stays pliable and soft. 5” x 10”.","1 Ct","$5.00","","Daily Living Aids","28","true","Hot & Cold Therapies Medline Accu-Therm Reusable Hot/Cold Gel Pack Microwave for hot therapy, freeze for cold therapy. Stays pliable and soft. 5” x 10”. 1 Ct 1041 $5.00"
"1043","CURAD Plastic Waterproof Bandages Tight 4-sided seal keeps out germs. 1” x 3”.","100 Ct","$5.00","","Bandages","6","false","CURAD Plastic Waterproof Bandages Tight 4-sided seal keeps out germs. 1” x 3”. 100 Ct 1043 $5.00"
"1044","Medline Isopropyl Alcohol Prep Pads Medium pad saturated with 70% isopropyl alcohol. 1.125” x 2.375”.","200 Ct","$5.00","","Antibiotics & Antiseptics","6","true","Medline Isopropyl Alcohol Prep Pads Medium pad saturated with 70% isopropyl alcohol. 1.125” x 2.375”. 200 Ct 1044 $5.00"
"1046","Medi-First Antiseptic Spray 2 oz. Helps prevent infection. 0.1% benzalkonium chloride, 5.0% benzocaine.","2 Oz","$8.00","","Antibiotics & Antiseptics","6","false","Medi-First Antiseptic Spray 2 oz. Helps prevent infection. 0.1% benzalkonium chloride, 5.0% benzocaine. 2 Oz 1046 $8.00"
"1048","Repellents Ben’s DEET Tick and Insect Repellent 3.4 oz. Water-based formula with 30% DEET for tick and mosquito protection.","3.4 Oz","$10.00","","Oral Care","25","false","Repellents Ben’s DEET Tick and Insect Repellent 3.4 oz. Water-based formula with 30% DEET for tick and mosquito protection. 3.4 Oz 1048 $10.00"
"1051","Cotton Balls & Swabs Medline Nonsterile Cotton Balls Highly absorbent, 100% bleached cotton 1-inch balls.","200 Ct","$5.00","","Personal Care","20","true","Cotton Balls & Swabs Medline Nonsterile Cotton Balls Highly absorbent, 100% bleached cotton 1-inch balls. 200 Ct 1051 $5.00"
"1057","CURAD FlexSEAL Spray Bandage 1.35 oz. Water-resistant transparent film seals out germs.","1.35 Oz","$10.00","","Bandages","7","false","CURAD FlexSEAL Spray Bandage 1.35 oz. Water-resistant transparent film seals out germs. 1.35 Oz 1057 $10.00"
