sku,description,pkg,price,compareTo,section,page,medlineBrand,rawLine
"1011","Abreva Cold Sore Treatment 2 g FDA-approved medicated cream with 10% docosanol helps shorten healing time.","1 Ct","$38.00","","Medications Over the Counter","12","false","Abreva Cold Sore Treatment 2 g FDA-approved medicated cream with 10% docosanol helps shorten healing time. 1 Ct 1011 $38.00"
"1012","Medline Cetirizine Allergy Relief Tablets 10 mg 24-hour relief. Compare to the active ingredient in Zyrtec.","90 Ct","$9.00","","Medications Over the Counter","9","true","Medline Cetirizine Allergy Relief Tablets 10 mg 24-hour relief. Compare to the active ingredient in Zyrtec. 90 Ct 1012 $9.00"
"1013","GeriCare Loratadine 24-Hr Non-Drowsy Allergy Relief Tablets 10 mg Compare to the active ingredient in Claritin.","30 Ct","$7.00","","Medications Over the Counter","9","false","GeriCare Loratadine 24-Hr Non-Drowsy Allergy Relief Tablets 10 mg Compare to the active ingredient in Claritin. 30 Ct 1013 $7.00"
"1015","Fexofenadine 24-Hour Allergy Relief Tablets 180 mg Non-drowsy. Compare to the active ingredient in Allegra Allergy.","30 Ct","$15.00","","Medications Over the Counter","9","false","Fexofenadine 24-Hour Allergy Relief Tablets 180 mg Non-drowsy. Compare to the active ingredient in Allegra Allergy. 30 Ct 1015 $15.00"
"1018","GoodSense Cold Max Day/Night Cold Relief Caplets Multi-symptom relief. 12 daytime caplets/8 nighttime caplets.","20 Ct","$7.00","","Medications Over the Counter","11","false","GoodSense Cold Max Day/Night Cold Relief Caplets Multi-symptom relief. 12 daytime caplets/8 nighttime caplets. 20 Ct 1018 $7.00"
"1020","GoodSense Cough Drops 5.8 mg menthol. Cherry flavor. Compare to the active ingredient in Halls.","30 Ct","$5.00","","Medications Over the Counter","11","false","GoodSense Cough Drops 5.8 mg menthol. Cherry flavor. Compare to the active ingredient in Halls. 30 Ct 1020 $5.00"
"1024","Fluticasone Propionate Nasal Spray 50 mcg Non-drowsy 24-hour relief. Compare to the active ingredient in Flonase. 120 metered doses.","1 Ct","$15.50","","Medications Over the Counter","10","false","Fluticasone Propionate Nasal Spray 50 mcg Non-drowsy 24-hour relief. Compare to the active ingredient in Flonase. 120 metered doses. 1 Ct 1024 $15.50"
"1026","Cough, Cold & Flu CareAll Medicated Chest Rub 3.53 oz. Compare to the active ingredients in Vicks VapoRub.","1 Ct","$5.50","","Medications Over the Counter","11","false","Cough, Cold & Flu CareAll Medicated Chest Rub 3.53 oz. Compare to the active ingredients in Vicks VapoRub. 1 Ct 1026 $5.50"
"1028","Guaifenesin Mucus Relief Tablets 400 mg Helps thin and loosen mucus and relieve chest congestion.","100 Ct","$7.50","","Medications Over the Counter","12","false","Guaifenesin Mucus Relief Tablets 400 mg Helps thin and loosen mucus and relieve chest congestion. 100 Ct 1028 $7.50"
"1033","Reliable-1 Saline Nasal Spray 3 oz. Compare to the active ingredient in Ocean.","1 Ct","$8.50","","Medications Over the Counter","10","false","Reliable-1 Saline Nasal Spray 3 oz. Compare to the active ingredient in Ocean. 1 Ct 1033 $8.50"
"1035","Dr. Sheffield’s Ear Wax Removal Drops 15 mL 6.5% carbamide peroxide solution. Compare to the active ingredient in Debrox.","1 Ct","$6.50","","Mobility","20","false","Dr. Sheffield’s Ear Wax Removal Drops 15 mL 6.5% carbamide peroxide solution. Compare to the active ingredient in Debrox. 1 Ct 1035 $6.50"
"1041","Medline Accu-Therm Reusable Hot/Cold Gel Pack Microwave for hot therapy, freeze for cold therapy. Stays pliable and soft. 5” x 10”.","1 Ct","$3.00","","Oral Care","29","true","Medline Accu-Therm Reusable Hot/Cold Gel Pack Microwave for hot therapy, freeze for cold therapy. Stays pliable and soft. 5” x 10”. 1 Ct 1041 $3.00"
"1043","CURAD Clear Waterproof Bandages Holds tight even when wet. 4-sided seal. 1” x 3”.","100 Ct","$5.00","","First Aid","2","false","CURAD Clear Waterproof Bandages Holds tight even when wet. 4-sided seal. 1” x 3”. 100 Ct 1043 $5.00"
"1044","Medline Isopropyl Alcohol Prep Pads Medium pad saturated with 70% isopropyl alcohol. 1.125” x 2.375”.","200 Ct","$4.50","","First Aid","2","true","Medline Isopropyl Alcohol Prep Pads Medium pad saturated with 70% isopropyl alcohol. 1.125” x 2.375”. 200 Ct 1044 $4.50"
"1048","Ben’s DEET Tick and Insect Repellent 3.4 oz. Water-based formula with 30% DEET for tick and mosquito protection.","1 Ct","$10.50","","Hearing Aids & Amplifiers","4","false","Ben’s DEET Tick and Insect Repellent 3.4 oz. Water-based formula with 30% DEET for tick and mosquito protection. 1 Ct 1048 $10.50"
"1051","Medline Nonsterile Cotton Balls Highly absorbent, 100% bleached cotton 1-inch balls.","200 Ct","$4.50","","Mobility","19","true","Medline Nonsterile Cotton Balls Highly absorbent, 100% bleached cotton 1-inch balls. 200 Ct 1051 $4.50"
"1059","CURAD Hydrocortisone 1% Anti-Itch Cream 1 oz. Helps reduce eczema, psoriasis and other skin condition symptoms.","1 Ct","$4.00","","Medications Over the Counter","10","false","CURAD Hydrocortisone 1% Anti-Itch Cream 1 oz. Helps reduce eczema, psoriasis and other skin condition symptoms. 1 Ct 1059 $4.00"
"1063","CURAD QuickStop! Flex-Fabric Bandages Helps stop minor bleeding fast. 0.75” x 2.83”.","30 Ct","$7.00","","First Aid","2","false","CURAD QuickStop! Flex-Fabric Bandages Helps stop minor bleeding fast. 0.75” x 2.83”. 30 Ct 1063 $7.00"
"1064","CURAD Soothe & Cool Hydrogel Bandages Cools on contact. Soothes, cushions and protects minor burns, blisters and abrasions. Assorted sizes.","8 Ct","$9.00","","First Aid","2","false","CURAD Soothe & Cool Hydrogel Bandages Cools on contact. Soothes, cushions and protects minor burns, blisters and abrasions. Assorted sizes. 8 Ct 1064 $9.00"
"1068","Medline Sterile Cotton Gauze Bandage Gently stretches to conform to contours. 4.5” x 4.1 yd. roll.","1 Ct","$1.50","","Tapes","3","true","Medline Sterile Cotton Gauze Bandage Gently stretches to conform to contours. 4.5” x 4.1 yd. roll. 1 Ct 1068 $1.50"
"1073","Medline 70% Isopropyl Alcohol 16 oz. Topical first aid essential.","1 Ct","$4.00","","First Aid","2","true","Medline 70% Isopropyl Alcohol 16 oz. Topical first aid essential. 1 Ct 1073 $4.00"
"1076","CareAll Petroleum Jelly 13 oz. Moisturizes rough, dry, chapped skin.","1 Ct","$9.50","","Oral Care","24","false","CareAll Petroleum Jelly 13 oz. Moisturizes rough, dry, chapped skin. 1 Ct 1076 $9.50"
"1077","ReadyPrep PVP Povidone Iodine Prep Solution 4 oz. Effective first aid antiseptic.","1 Ct","$3.50","","First Aid","2","false","ReadyPrep PVP Povidone Iodine Prep Solution 4 oz. Effective first aid antiseptic. 1 Ct 1077 $3.50"
"1082","HealthSmart Jar Openers Set includes jar opener, bottle opener and nonslip silicone circle.","3 Ct","$6.00","","First Aid","1","false","HealthSmart Jar Openers Set includes jar opener, bottle opener and nonslip silicone circle. 3 Ct 1082 $6.00"
"1089","Medline Oral Digital Thermometer Results in 30 seconds. One-piece, snap-on protective cover.","1 Ct","$4.00","","Hearing Aids & Amplifiers","6","true","Medline Oral Digital Thermometer Results in 30 seconds. One-piece, snap-on protective cover. 1 Ct 1089 $4.00"
"1094","Medline Infrared No-Touch Forehead Thermometer Takes body and surface temps from 1-inch away.","1 Ct","$49.50","","Hearing Aids & Amplifiers","6","true","Medline Infrared No-Touch Forehead Thermometer Takes body and surface temps from 1-inch away. 1 Ct 1094 $49.50"
"1099","Medline Digital Blood Pressure Monitor Stores 90 measurements for 2 users. Universal cuff (8.7”- 16.5” arm circumference) AC power adapter and batteries.","1 Ct","$50.00","","Hearing Aids & Amplifiers","5","true","Medline Digital Blood Pressure Monitor Stores 90 measurements for 2 users. Universal cuff (8.7”- 16.5” arm circumference) AC power adapter and batteries. 1 Ct 1099 $50.00"
"1100","Medline Infrared Talking Ear/Forehead Thermometer Reading in just 1 second. Results in your choice of 6 languages.","1 Ct","$32.00","","Hearing Aids & Amplifiers","5","true","Medline Infrared Talking Ear/Forehead Thermometer Reading in just 1 second. Results in your choice of 6 languages. 1 Ct 1100 $32.00"
"1103","Ear & Eye Care Medline FitRight Aloe Personal Wipes Gentle aloe-based formula. Standard weight. 8” x 10”. Scented.","100 Ct","$7.00","","Mobility","20","true","Ear & Eye Care Medline FitRight Aloe Personal Wipes Gentle aloe-based formula. Standard weight. 8” x 10”. Scented. 100 Ct 1103 $7.00"
"1106","CURAD Vitamin A&D Ointment 2 oz. Skin protectant helps protect against wetness.","1 Ct","$4.00","","Oral Care","25","false","CURAD Vitamin A&D Ointment 2 oz. Skin protectant helps protect against wetness. 1 Ct 1106 $4.00"
"1112","Medline FitRight OptiFit Ultra Disposable Briefs Cloth-like adult diaper with soft anti-leak guards. Ultra absorbency. L (44”-56” waist).","20 Ct","$20.00","","Protective Underwear","7","true","Medline FitRight OptiFit Ultra Disposable Briefs Cloth-like adult diaper with soft anti-leak guards. Ultra absorbency. L (44”-56” waist). 20 Ct 1112 $20.00"
"1113","Medline FitRight OptiFit Ultra Disposable Briefs Cloth-like adult diaper with soft anti-leak guards. Ultra absorbency. M (32”-44” waist).","20 Ct","$20.00","","Protective Underwear","7","true","Medline FitRight OptiFit Ultra Disposable Briefs Cloth-like adult diaper with soft anti-leak guards. Ultra absorbency. M (32”-44” waist). 20 Ct 1113 $20.00"
"1114","Medline FitRight OptiFit Ultra Disposable Briefs Cloth-like adult diaper with soft anti-leak guards. Ultra absorbency. XL (56”-64” waist).","20 Ct","$20.00","","Protective Underwear","7","true","Medline FitRight OptiFit Ultra Disposable Briefs Cloth-like adult diaper with soft anti-leak guards. Ultra absorbency. XL (56”-64” waist). 20 Ct 1114 $20.00"
"1132","CURAD Mediplast Wart Remover Pad Helps remove warts, corns, calluses. 40% salicylic acid. 2” x 3”.","1 Ct","$2.50","","Pain & Fever Relief","13","false","CURAD Mediplast Wart Remover Pad Helps remove warts, corns, calluses. 40% salicylic acid. 2” x 3”. 1 Ct 1132 $2.50"
"1143","Sheffield Antifungal Cream 1.25 oz. Compare to the active ingredient in Tinactin.","1 Ct","$5.50","","Medications Over the Counter","10","false","Sheffield Antifungal Cream 1.25 oz. Compare to the active ingredient in Tinactin. 1 Ct 1143 $5.50"
"1151","Colgate 360 Sonic Replacement Brush Heads Deep reach design with soft bristles.","2 Ct","$13.00","","Oral Care","23","false","Colgate 360 Sonic Replacement Brush Heads Deep reach design with soft bristles. 2 Ct 1151 $13.00"
"1154","Freshmint Waxed Dental Floss 100 yd. Mint flavor.","1 Ct","$4.00","","Oral Care","22","false","Freshmint Waxed Dental Floss 100 yd. Mint flavor. 1 Ct 1154 $4.00"
"1155","Effervescent Denture Cleanser Tablets Compare to the active ingredient in Efferdent.","90 Ct","$9.00","","Oral Care","22","false","Effervescent Denture Cleanser Tablets Compare to the active ingredient in Efferdent. 90 Ct 1155 $9.00"
"1158","GoodSense Medicated Lip Balm Treatment Palm-sized tin fits easily in your pocket. Pack of 2.","2 Ct","$5.50","","Pain & Fever Relief","13","false","GoodSense Medicated Lip Balm Treatment Palm-sized tin fits easily in your pocket. Pack of 2. 2 Ct 1158 $5.50"
"1161","Pepsodent Complete Care Toothpaste 5.5 oz. Enamel strengthening, helps whiten teeth. Original flavor.","1 Ct","$5.00","","Oral Care","24","false","Pepsodent Complete Care Toothpaste 5.5 oz. Enamel strengthening, helps whiten teeth. Original flavor. 1 Ct 1161 $5.00"
"1170","Medline Knee Support with Removable U-Buttress 4 spiral medial and lateral stays for added stability. Black. Size L (15”-16” knee circumference).","1 Ct","$16.00","","Oral Care","26","true","Medline Knee Support with Removable U-Buttress 4 spiral medial and lateral stays for added stability. Black. Size L (15”-16” knee circumference). 1 Ct 1170 $16.00"
"1171","Medline Knee Support with Removable U-Buttress 4 spiral medial and lateral stays for added stability. Black. Size M (14”-15” knee circumference).","1 Ct","$16.00","","Oral Care","26","true","Medline Knee Support with Removable U-Buttress 4 spiral medial and lateral stays for added stability. Black. Size M (14”-15” knee circumference). 1 Ct 1171 $16.00"
"1172","Medline Knee Support with Removable U-Buttress 4 spiral medial and lateral stays for added stability. Black. Size S (13”-14” knee circumference).","1 Ct","$16.00","","Oral Care","26","true","Medline Knee Support with Removable U-Buttress 4 spiral medial and lateral stays for added stability. Black. Size S (13”-14” knee circumference). 1 Ct 1172 $16.00"
"1186","GoodSense Arthritis Pain Caplets 650 mg Compare to the active ingredient in Tylenol 8HR Arthritis Pain.","100 Ct","$12.00","","Pain & Fever Relief","13","false","GoodSense Arthritis Pain Caplets 650 mg Compare to the active ingredient in Tylenol 8HR Arthritis Pain. 100 Ct 1186 $12.00"
"1187","Aspercreme Lidocaine Pain Relief Cream 2.7 oz. Numbs away pain. Non-greasy formula rubs in easily.","1 Ct","$14.00","","Pain & Fever Relief","15","false","Aspercreme Lidocaine Pain Relief Cream 2.7 oz. Numbs away pain. Non-greasy formula rubs in easily. 1 Ct 1187 $14.00"
"1190","Medline Low-Dose Enteric Aspirin Tablets 81 mg Coated for easier swallowing. Compare to the active ingredient in Bayer Low Dose.","120 Ct","$6.00","","Pain & Fever Relief","14","true","Medline Low-Dose Enteric Aspirin Tablets 81 mg Coated for easier swallowing. Compare to the active ingredient in Bayer Low Dose. 120 Ct 1190 $6.00"
"1191","Low-Dose Enteric-Coated Aspirin Tablets 81 mg Compare to the active ingredient in Bayer Low Dose Aspirin.","300 Ct","$9.00","","Pain & Fever Relief","14","false","Low-Dose Enteric-Coated Aspirin Tablets 81 mg Compare to the active ingredient in Bayer Low Dose Aspirin. 300 Ct 1191 $9.00"
"1195","GoodSense Hemorrhoid Ointment 2 oz. Compare to the active ingredients in Preparation H Hemorrhoidal Ointment.","1 Ct","$6.00","","Pain & Fever Relief","14","false","GoodSense Hemorrhoid Ointment 2 oz. Compare to the active ingredients in Preparation H Hemorrhoidal Ointment. 1 Ct 1195 $6.00"
"1203","Cooling Menthol Lavender Migraine Headache Pads Fast, cooling headache relief that lasts up to 12 hours. Single use. 4.3” x 2”.","4 Ct","$8.00","","Pain & Fever Relief","16","false","Cooling Menthol Lavender Migraine Headache Pads Fast, cooling headache relief that lasts up to 12 hours. Single use. 4.3” x 2”. 4 Ct 1203 $8.00"
"1205","Medline Naproxen Sodium Tablets 220 mg Relief for up to 12 hours. Compare to the active ingredient in Aleve.","100 Ct","$9.50","","Pain & Fever Relief","16","true","Medline Naproxen Sodium Tablets 220 mg Relief for up to 12 hours. Compare to the active ingredient in Aleve. 100 Ct 1205 $9.50"
"1207","Medline Extra Strength Pain Relief Tablets 250 mg acetaminophen, 250 mg aspirin plus 65 mg caffeine.","100 Ct","$6.50","","Pain & Fever Relief","14","true","Medline Extra Strength Pain Relief Tablets 250 mg acetaminophen, 250 mg aspirin plus 65 mg caffeine. 100 Ct 1207 $6.50"
"1208","Salonpas Pain Relieving Patch 3 pain fighters work at site of pain. Single-use. Large 5.67” x 3.62”.","6 Ct","$8.00","","Pain & Fever Relief","16","false","Salonpas Pain Relieving Patch 3 pain fighters work at site of pain. Single-use. Large 5.67” x 3.62”. 6 Ct 1208 $8.00"
"1216","GoodSense Effervescent Pain Relief Tablets Compare to the active ingredients in Alka-Seltzer.","36 Ct","$8.50","","Stomach Remedies","16","false","GoodSense Effervescent Pain Relief Tablets Compare to the active ingredients in Alka-Seltzer. 36 Ct 1216 $8.50"
