sourceCatalog,sku,section,page,rowOrderOnPage,reason
"memorial-hermann-2026","6511","First Aid","1","8","more_rows_than_images"
"memorial-hermann-2026","7311","First Aid","1","9","more_rows_than_images"
"memorial-hermann-2026","7312","First Aid","1","10","more_rows_than_images"
"memorial-hermann-2026","6556","First Aid","2","11","more_rows_than_images"
"memorial-hermann-2026","7310","First Aid","2","12","more_rows_than_images"
"memorial-hermann-2026","1068","Tapes","3","1","low_page_confidence"
"memorial-hermann-2026","1637","Tapes","3","2","low_page_confidence"
"memorial-hermann-2026","1929","Tapes","3","3","low_page_confidence"
"memorial-hermann-2026","1931","Tapes","3","4","low_page_confidence"
"memorial-hermann-2026","2101","Tapes","3","5","low_page_confidence"
"memorial-hermann-2026","4009","Tapes","3","6","low_page_confidence"
"memorial-hermann-2026","6015","Tapes","3","7","low_page_confidence"
"memorial-hermann-2026","6016","Tapes","3","8","low_page_confidence"
"memorial-hermann-2026","6570","Hearing Aids & Amplifiers","5","8","more_rows_than_images"
"memorial-hermann-2026","7335","Hearing Aids & Amplifiers","5","9","more_rows_than_images"
"memorial-hermann-2026","7336","Hearing Aids & Amplifiers","5","10","more_rows_than_images"
"memorial-hermann-2026","1415","Incontinence","6","9","more_rows_than_images"
"memorial-hermann-2026","3465","Hearing Aids & Amplifiers","6","10","more_rows_than_images"
"memorial-hermann-2026","8069","Incontinence","6","11","more_rows_than_images"
"memorial-hermann-2026","7413","Medications Over the Counter","10","11","more_rows_than_images"
"memorial-hermann-2026","7910","Medications Over the Counter","10","12","more_rows_than_images"
"memorial-hermann-2026","7692","Pain & Fever Relief","13","12","more_rows_than_images"
"memorial-hermann-2026","6707","Pain & Fever Relief","14","12","more_rows_than_images"
"memorial-hermann-2026","8663","Pain & Fever Relief","15","12","more_rows_than_images"
"memorial-hermann-2026","6715","Pain & Fever Relief","16","12","more_rows_than_images"
"memorial-hermann-2026","8466","Mobility","19","10","more_rows_than_images"
"memorial-hermann-2026","3948","Mobility","20","9","more_rows_than_images"
"memorial-hermann-2026","3963","Mobility","20","10","more_rows_than_images"
"memorial-hermann-2026","6863","Mobility","20","11","more_rows_than_images"
"memorial-hermann-2026","6883","Foot Care","21","11","more_rows_than_images"
"memorial-hermann-2026","6929","Oral Care","23","10","more_rows_than_images"
"memorial-hermann-2026","6943","Oral Care","23","11","more_rows_than_images"
"memorial-hermann-2026","7655","Oral Care","23","12","more_rows_than_images"
"memorial-hermann-2026","7684","Oral Care","24","12","more_rows_than_images"
"memorial-hermann-2026","5019","Oral Care","26","10","more_rows_than_images"
"memorial-hermann-2026","7056","Oral Care","26","11","more_rows_than_images"
"memorial-hermann-2026","7102","Oral Care","26","12","more_rows_than_images"
"memorial-hermann-2026","1321","Oral Care","27","1","low_page_confidence"
"memorial-hermann-2026","1470","Oral Care","27","2","low_page_confidence"
"memorial-hermann-2026","1472","Oral Care","27","3","low_page_confidence"
"memorial-hermann-2026","7084","Oral Care","27","4","low_page_confidence"
"memorial-hermann-2026","1312","Oral Care","28","1","low_page_confidence"
"memorial-hermann-2026","7179","Oral Care","28","2","low_page_confidence"
"memorial-hermann-2026","7258","Oral Care","31","11","more_rows_than_images"
"memorial-hermann-2026","7259","Oral Care","31","12","more_rows_than_images"
