sourceCatalog,page,imageOrderOnPage,imageName,width,height,reason
"memorial-hermann-2026","3","1","img_p2_1","153","189","low_page_confidence"
"memorial-hermann-2026","3","2","img_p2_2","153","153","low_page_confidence"
"memorial-hermann-2026","3","3","img_p2_3","153","153","low_page_confidence"
"memorial-hermann-2026","3","4","img_p2_4","153","170","low_page_confidence"
"memorial-hermann-2026","3","5","img_p2_5","153","153","low_page_confidence"
"memorial-hermann-2026","3","6","img_p2_6","153","153","low_page_confidence"
"memorial-hermann-2026","3","7","img_p2_7","153","153","low_page_confidence"
"memorial-hermann-2026","3","8","img_p2_8","153","153","low_page_confidence"
"memorial-hermann-2026","3","9","img_p2_9","153","152","low_page_confidence"
"memorial-hermann-2026","3","10","img_p2_10","153","153","low_page_confidence"
"memorial-hermann-2026","3","11","img_p2_11","153","160","low_page_confidence"
"memorial-hermann-2026","3","12","img_p2_12","153","153","low_page_confidence"
"memorial-hermann-2026","4","8","img_p3_8","153","153","more_images_than_rows"
"memorial-hermann-2026","4","9","img_p3_9","153","153","more_images_than_rows"
"memorial-hermann-2026","4","10","img_p3_10","153","153","more_images_than_rows"
"memorial-hermann-2026","9","11","img_p8_11","153","153","more_images_than_rows"
"memorial-hermann-2026","25","11","img_p24_11","153","153","more_images_than_rows"
"memorial-hermann-2026","25","12","img_p24_12","153","153","more_images_than_rows"
"memorial-hermann-2026","27","1","img_p26_1","153","115","low_page_confidence"
"memorial-hermann-2026","27","2","img_p26_2","153","127","low_page_confidence"
"memorial-hermann-2026","27","3","img_p26_3","153","153","low_page_confidence"
"memorial-hermann-2026","27","4","img_p26_3","153","153","low_page_confidence"
"memorial-hermann-2026","27","5","img_p26_3","153","153","low_page_confidence"
"memorial-hermann-2026","27","6","img_p26_3","153","153","low_page_confidence"
"memorial-hermann-2026","27","7","img_p26_4","153","153","low_page_confidence"
"memorial-hermann-2026","27","8","img_p26_5","153","125","low_page_confidence"
"memorial-hermann-2026","27","9","img_p26_6","153","121","low_page_confidence"
"memorial-hermann-2026","27","10","img_p26_6","153","121","low_page_confidence"
"memorial-hermann-2026","27","11","img_p26_6","153","121","low_page_confidence"
"memorial-hermann-2026","27","12","img_p26_6","153","121","low_page_confidence"
"memorial-hermann-2026","28","1","img_p27_1","153","132","low_page_confidence"
"memorial-hermann-2026","28","2","img_p27_2","153","149","low_page_confidence"
"memorial-hermann-2026","28","3","img_p27_4","153","161","low_page_confidence"
"memorial-hermann-2026","28","4","img_p27_5","153","156","low_page_confidence"
"memorial-hermann-2026","28","5","img_p27_6","153","153","low_page_confidence"
"memorial-hermann-2026","28","6","img_p27_7","153","153","low_page_confidence"
"memorial-hermann-2026","28","7","img_p27_7","153","153","low_page_confidence"
"memorial-hermann-2026","28","8","img_p27_7","153","153","low_page_confidence"
"memorial-hermann-2026","28","9","img_p27_8","153","153","low_page_confidence"
"memorial-hermann-2026","28","10","img_p27_9","153","153","low_page_confidence"
"memorial-hermann-2026","28","11","img_p27_10","153","153","low_page_confidence"
"memorial-hermann-2026","29","11","img_p28_8","153","153","more_images_than_rows"
"memorial-hermann-2026","29","12","img_p28_9","153","164","more_images_than_rows"
"memorial-hermann-2026","32","12","img_p31_12","153","153","more_images_than_rows"
"memorial-hermann-2026","33","10","img_p32_10","153","153","more_images_than_rows"
"memorial-hermann-2026","33","11","img_p32_11","153","153","more_images_than_rows"
