sortId,cat1,cat2,sku,nbr,pkg,name,desc,image,refImage,matchType,price
020.020.070.0030,First Aid,Bandages,MDS099003SSH,1439,1,Medline Firm-Wrap Short Stretch Bandage,"100% cotton. Flexible, elastic clip fasteners. 3.15"" x 5.47 yd. roll.",mds099003ssh.jpg,mds099003ssh.jpg,exact,$5.50
020.070.010.0042,First Aid,Protective Sleeves,NONSLEEVE,1513,1,Medline Protective Armsleeves,"Provides warmth and gentle compression. 93% cotton/7% spandex. 18"" long.",protective-arm-leg-sleeves-18-in-thumbloop-nonsleeve-1-pair.jpg,protective-arm-leg-sleeves-18-in-thumbloop-nonsleeve-1-pair.jpg,exact,$18.00
020.070.020.0043,First Aid,Protective Sleeves,NONSLEEVEL,1514,2,Medline Protective Leg Sleeve White 15inL 1Pair,"Provides warmth and gentle compression. 93% cotton/7% spandex. 15"" long.",nonsleevel_01_1.jpg,nonsleevel_01_1.jpg,exact,$25.00
030.020.020.0052,Hearing Aids & Amplifiers,Hearing Amplifiers & Accessories,MDSHEARAMP,3731,1,Medline Digital Hearing Amplifier,"Battery-powered, behind-the-ear style with 4-level volume control.",mdshearamp_01.jpg,mdshearamp_01.jpg,exact,$24.50
040.020.040.0065,Home Diagnostics,Blood Pressure & Accessories,MDS4003,3704,1,Medline Deluxe Digital Wrist Blood Pressure Monitor,"Quick readings of systolic/diastolic pressure & pulse rate. Fits 5.3""-8.5"".",plus-digital-wrist-blood-pressure-monitor-mds4003-1-each.jpg,plus-digital-wrist-blood-pressure-monitor-mds4003-1-each.jpg,exact,$24.00
040.040.040.0072,Home Diagnostics,Measuring Devices,DETSLIMTLK,1648,1,SlimTALK Talking Digital Floor Scale,"Low-profile for easy on/off. 12.3"" L x 14.3"" W x 1.4"" H. 400 lb. capacity.",digital-floor-scales-by-cardinal-scale-detslimtlk.jpg,digital-floor-scales-by-cardinal-scale-detslimtlk.jpg,exact,$56.00
040.040.070.0075,Home Diagnostics,Measuring Devices,HCSM70R,3698,1,Medline Soft-Touch Fingertip Pulse Oximeter,Measures SpO2 and pulse rate. Large digital display.,hcsm70r_pri02_1.jpeg,hcsm70r_pri02_1.jpeg,exact,$28.00
040.060.020.0080,Home Diagnostics,Thermometers & Accessories,MDSTH1002,1100,1,Medline Infrared Talking Ear/Forehead Thermometer,Reading in just 1 second. Speaks results in one of 6 languages.,talking-ear-forehead-thermometer-for-home-use-mdsth1002-1-each.jpg,talking-ear-forehead-thermometer-for-home-use-mdsth1002-1-each.jpg,exact,$36.50
040.060.020.0081,Home Diagnostics,Thermometers & Accessories,MDSNOTOUCH,1094,1,Medline Infrared No-Touch Forehead Thermometer,Takes body and surface temps from 1-inch away.,infrared-no-touch-forehead-thermometer-mdsnotouch-1-each-whiteblack.jpg,infrared-no-touch-forehead-thermometer-mdsnotouch-1-each-whiteblack.jpg,exact,$44.00
040.060.030.0084,Home Diagnostics,Thermometers & Accessories,MDS99902H,3465,1,Medline Flex-Tip Digital Thermometer,"30-second read time. Oral, rectal or axillary use.",sku_mds99902_046_rgb.jpg,sku_mds99902_046_rgb.jpg,exact,$5.50
040.060.030.0085,Home Diagnostics,Thermometers & Accessories,MDS9953H,1088,1,Medline Large Display Oral Digital Thermometer,Results in 20 seconds. Large LCD screen with back light.,SKU_MDS9953_047_Outline_RGB.jpg,SKU_MDS9953_047_Outline_RGB.jpg,exact,$9.00
